Tempo;Tensione;Corrente;Tempo;Tensione;Corrente
0,000000;1,000420;0,000000;0,000000;1,000520;0,000046
0,010001;1,000410;0,000000;0,010001;1,000510;0,000046
0,020001;1,000410;0,000000;0,020001;1,000520;0,000045
0,030001;1,000400;0,000000;0,030001;1,000520;0,000045
0,040001;1,000400;0,000000;0,040001;1,000520;0,000045
0,050001;1,000410;0,000000;0,050001;1,000530;0,000044
0,060001;1,000410;0,000000;0,060001;1,000510;0,000044
0,070001;1,000410;0,000000;0,070001;1,000520;0,000044
0,080001;1,000390;0,000000;0,080001;1,000530;0,000043
0,090001;1,000400;0,000000;0,090001;1,000520;0,000043
0,100001;1,000410;0,000000;0,100001;1,000530;0,000042
